date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:27	11581/11581	---M-Z	200	added ('OK')	text/html	etag:W/%22536f8d4d3f54ace3c90dc9795630bcc1%22	https://donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html	C:/My%20Web%20Sites/saludpanchi/donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html	(from )
22:38:27	2011/2011	---M-Z	200	added ('OK')	text/html	etag:W/%2229435caa5c7fffc5c45f558159925d99%22	https://donacionpanchi.nicepage.io/robots.txt		(from )
22:38:32	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22397754ba49e9e0cf4e7c190da78dda05%22	http://capp.nicepage.com/assets/jquery-1.9.1.min.js	C:/My%20Web%20Sites/saludpanchi/capp.nicepage.com/assets/jquery-1.9.1.min.js	(from https://donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html)
22:38:32	240997/240997	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22dae664734d923120a331b0c5820f64d0%22	http://capp.nicepage.com/271e492131903c0b70a27b4324aa2b5b5c23df5b/nicepage.js	C:/My%20Web%20Sites/saludpanchi/capp.nicepage.com/271e492131903c0b70a27b4324aa2b5b5c23df5b/nicepage.js	(from https://donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html)
22:38:35	1240807/1240807	---M-Z	200	added ('OK')	text/css	etag:W/%22428d3ad59ba9896650b621883d8944a4%22	https://donacionpanchi.nicepage.io/nicepage.css?version=502bef9a-01f3-4a22-b88f-1f3d93d623c7	C:/My%20Web%20Sites/saludpanchi/donacionpanchi.nicepage.io/nicepage3a18.css	(from https://donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html)
22:38:35	11581/11581	---M-Z	200	added ('OK')	text/html	etag:W/%22536f8d4d3f54ace3c90dc9795630bcc1%22	https://donacionpanchi.nicepage.io/	C:/My%20Web%20Sites/saludpanchi/donacionpanchi.nicepage.io/index.html	(from https://donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html)
22:38:36	5868/5868	---M-Z	200	added ('OK')	text/html	etag:W/%2229435caa5c7fffc5c45f558159925d99%22	https://donacionpanchi.nicepage.io/Donaci%c3%83%c2%b3n-Salud.html	C:/My%20Web%20Sites/saludpanchi/donacionpanchi.nicepage.io/Donaci%c3%83%c2%b3n-Salud.html	(from https://donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html)
22:38:37	5868/5868	---M-Z	200	added ('OK')	text/html	etag:W/%2229435caa5c7fffc5c45f558159925d99%22	https://donacionpanchi.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/My%20Web%20Sites/saludpanchi/donacionpanchi.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/271e492131903c0b70a27b4324aa2b5b5c23df5b/nicepage.js)
22:38:37	5868/5868	---M-Z	200	added ('OK')	text/html	etag:W/%2229435caa5c7fffc5c45f558159925d99%22	https://donacionpanchi.nicepage.io/Content/BundledScripts/	C:/My%20Web%20Sites/saludpanchi/donacionpanchi.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/271e492131903c0b70a27b4324aa2b5b5c23df5b/nicepage.js)
22:38:39	49883/49883	---M--	200	added ('OK')	image/jpeg	etag:%22437864ee498b2c0c53441ad6bc39e0ad%22	http://images02.nicepage.com/aa62307a2db0bfa86fc85e2f/476b51051d98559490613fd7/background.jpg	C:/My%20Web%20Sites/saludpanchi/images02.nicepage.com/aa62307a2db0bfa86fc85e2f/476b51051d98559490613fd7/background.jpg	(from https://donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html)
22:38:43	179524/179524	---MCZ	200	added ('OK')	application/javascript	etag:W/%2239851ed72d0542968c58dad6218ba160%22	http://capp.nicepage.com/bbbfdbf2920fce50098ba968048cdc5c64de98b9/nicepage.js	C:/My%20Web%20Sites/saludpanchi/capp.nicepage.com/bbbfdbf2920fce50098ba968048cdc5c64de98b9/nicepage.js	(from https://donacionpanchi.nicepage.io/Donaci%c3%83%c2%b3n-Salud.html)
22:38:56	403159/403159	---M--	200	added ('OK')	image/png	etag:%22310cd284949b5de55989cbc9bbfdbe53%22	http://images02.nicepage.com/aa62307a2db0bfa86fc85e2f/f6809e8adf4955a588e40b73/product.png	C:/My%20Web%20Sites/saludpanchi/images02.nicepage.com/aa62307a2db0bfa86fc85e2f/f6809e8adf4955a588e40b73/product.png	(from https://donacionpanchi.nicepage.io/Donaci%c3%b3n-Salud.html)
